Traditional,Simplified,Pinyin,Meaning
新年,新年,xīnnián,"MA, N (TW): new year [PAVC-112]"
星期,星期,xīngqí,N: week [PAVC-112]
行,行,xíng,"SV: to be OK, to be permitted [PAVC-112]"
學期,学期,xuéqí,"N, M: semester [PAVC-112]"
應該,应该,yīnggāi,"AV: should, ought to [PAVC-112]"
雨,雨,yǔ,N: rain [PAVC-112]
雨季,雨季,yǔjì,"MA, N (TW): rainy season, monsoon season [PAVC-112]"
月,月,yuè,N: month [PAVC-112]
怎麼辦,怎么办,zěnmebàn,IE: what now? what am I supposed to do now? what happens? [PAVC-112]
著急,著急,zhāojí,"SV: to be nervous, anxious [PAVC-112]"
中秋節,中秋节,Zhōngqiūjié,N: Mid-Autumn Festival [PAVC-112]
住,住,zhù,"V: to stay, to lie [PAVC-112]"
最近,最近,zuìjìn,"MA: recently, lately [PAVC-112]"
首,首,shǒu,M: measure word for poems and songs [PAVC-112] [PAVC-401]
阿姨,阿姨,āyí,N: mother's sister [PAVC-105]
愛美,爱美,Àiměi,N: transliteration of an English given name (Amy) [PAVC-101]
伯母,伯母,bómǔ,"N: aunt, wife of father's elder brother [PAVC-105] [PAVC-411]"
大衛,大卫,Dàwèi,N: transliteration of an English given name (David) [PAVC-101]
大文,大文,Dàwén,N: a Chinese male given name (Dawen) [PAVC-105]
東尼,东尼,Dōngní,N: transliteration of an English given name (Tony) [PAVC-105]
耳朵,耳朵,ěrduo,"N: ear (M: 隻, 對) [PAVC-107] [PAVC-402]"
果汁,果汁,guǒzhī,"N: fruit juice (M: 種, 杯, 盒) [PAVC-104] [PAVC-414]"
漢堡,汉堡,hànbǎo,"N: Hamburg [PAVC-311]; hamburger (also ～包, second character also written 飽) [PAVC-104] [PAVC-512]"
漢字,汉字,hànzì,N: Chinese character [PAVC-107]
節目,节目,jiémù,"N: program, item on a program (on the TV) [PAVC-108]; N: program, events (of entertainment, etc.) [PAVC-401]"
姊姊,姊姊,jiějie,"N: elder sister (Taiwanese version, the dictionary pronunciation of this character is 'zǐ') [PAVC-105]"
咖啡,咖啡,kāfēi,N: coffee [PAVC-103]
看籃球賽,看篮球赛,kànlánqiúsài,VO: to watch a basketball game [PAVC-111]
老虎,老虎,lǎohǔ,N: tiger [PAVC-107]
咪咪,咪咪,Mīmī,N: a pet name for a cat (Mimi) [PAVC-105]
紐約,纽约,Niǔyuē,N: New York [PAVC-109]
啤酒,啤酒,píjiǔ,"N: beer (M: 杯, 瓶, 罐 or 桶) [PAVC-104] [PAVC-406]"
牆,墙,qiáng,N: wall [PAVC-109]
三明治,三明治,sānmíngzhì,N: sandwich [PAVC-104] [PAVC-414]
淑芳,淑芳,Shúfāng,N: a Chinese female given name (Shufang) [PAVC-102]
襪子,袜子,wàzi,"N: socks, stockings (M: 隻 or 雙) [PAVC-104] [PAVC-406]"
珍妮,珍妮,Zhēnní,N: transliteration of an English given name (Jenny) [PAVC-101]
隻,只,zhī,"M: measure word for one of a pair, and also for certain animals, and for boats [PAVC-105] [PAVC-313]"
病,病,bìng,"N: illness, disease; (～人) patient [PAVC-201]"
病了,病了,bìngle,V: to become ill [PAVC-201]
不必,不必,búbì,"A: don't have to, need not [PAVC-201]"
打,打,dǎ,"V: to hit, to beat, to strike [PAVC-201]"
打算,打算,dǎsuàn,V: to plan [PAVC-201]
得,得,děi,"A: must, have to [PAVC-201]"
放,放,fàng,"V: to put, to release [PAVC-201]; to let go, set free, release; to place, put [PAVC-312]"
放假,放假,fàngjià,"VO: to have a holiday, vacation [PAVC-201]"
放心,放心,fàngxīn,"SV, VO: to be at ease, not worry [PAVC-201]"
感冒,感冒,gǎnmào,"V, N: to have a cold; cold, flu [PAVC-201]"
好了,好了,hǎole,"SV: to be well again, recover; SV: to be ready [PAVC-201]"
滑雪,滑雪,huáxuě,VO: to ski [PAVC-201]
壞,坏,huài,SV: to be bad [PAVC-201]
壞了,坏了,huàile,"SV: to be broken, ruined, out of order, spoiled [PAVC-201]"
假,假,jià,"N: vacation, holiday [PAVC-201]"
可能,可能,kěnéng,"A, SV, N: possibly; to be possible; possibility [PAVC-201]"
禮拜,礼拜,lǐbài,N: week [PAVC-201]
禮拜天,礼拜天,lǐbàitiān,N: Sunday [PAVC-201]
沒事兒,没事儿,méishìr,"IE: never mind, it doesn't matter, it's nothing, that's all right [PAVC-201]"
山,山,shān,N: mountain [PAVC-201]
生病,生病,shēngbìng,"VO: to become ill, to be sick [PAVC-201]"
舒服,舒服,shūfú,SV: to be comfortable [PAVC-201]
算,算,suàn,V: to calculate [PAVC-201]
特別,特别,tèbié,"A, SV: especially, to be special [PAVC-201]"
忘,忘,wàng,V: to forget [PAVC-201]
下雪,下雪,xiàxuě,VO: to snow [PAVC-201]
鄉下,乡下,xiāngxià,N: countryside [PAVC-201]
小心,小心,xiǎoxīn,SV: to be careful [PAVC-201]
心,心,xīn,N: heart [PAVC-201]
許,许,xǔ,"V: to allow, to permit [PAVC-201]"
雪,雪,xuě,N: snow [PAVC-201]
藥,药,yào,N: medicine [PAVC-201]
也許,也许,yěxǔ,"MA: perhaps, maybe, might [PAVC-201]"
醫,医,yī,"V: to cure, to treat (an illness) [PAVC-201]"
醫生,医生,yīshēng,N: doctor [PAVC-201]
怎麼了,怎么了,zěnmele,IE: what's wrong? [PAVC-201]
週末,周末,zhōumò,N: weekend (also written without the 辶 radical) [PAVC-201] [PAVC-308]
百貨公司,百货公司,bǎihuògōngsī,N: department store [PAVC-202]
幫,帮,bāng,"V: to help, to assist [PAVC-202]"
幫忙,帮忙,bāngmáng,VO: to help someone do something [PAVC-202]
北,北,běi,N: north (also ～邊) [PAVC-202]
不客氣,不客气,búkèqì,IE: you're welcome [PAVC-202]
部,部,bù,"BF: part, area; department [PAVC-202]"
城,城,chéng,"N: city, city wall [PAVC-202]"
城市,城市,chéngshì,N: city [PAVC-202]
第,第,dì,DEM: a prefix for ordinal numbers [PAVC-202]
東,东,dōng,N: east (also ～邊) [PAVC-202]
東部,东部,dōngbù,"N (PW): eastern part, eastern area [PAVC-202]"
高,高,gāo,"SV: to be tall, to be high [PAVC-202]"
海,海,hǎi,"N: sea, ocean; (～邊) seaside [PAVC-202]"
河,河,hé,N: river [PAVC-202]
街,街,jiē,N: street [PAVC-202]
經過,经过,jīngguò,"V: to pass by, to pass through [PAVC-202]"
客氣,客气,kèqì,SV: to be polite [PAVC-202]
路口,路口,lùkǒu,N: street entrance [PAVC-202]
南,南,nán,N: south (also ～邊) [PAVC-202]
起飛,起飞,qǐfēi,V: to take off [PAVC-202]
然後,然后,ránhòu,"A: afterwards, then [PAVC-202]"
十字路口,十字路口,shízìlùkǒu,N (PW): intersection [PAVC-202]
市,市,shì,"BF: city municipality, market [PAVC-202]"
台北,台北,Táiběi,N: Taipei [PAVC-202]
條,条,tiáo,"M: measure word for long, narrow things, such as rivers, road, fish, etc. [PAVC-202]"
往,往,wǎng,CV: to go toward [PAVC-202]
西,西,xī,N: west (also ～邊) [PAVC-202]
西部,西部,xībù,"N (PW): western part, western area [PAVC-202]"
先,先,xiān,"A: first, in advance, before [PAVC-202]"
要是,要是,yàoshì,MA: if [PAVC-202]
一直,一直,yìzhí,"A: straight; constantly, continuously [PAVC-202]; always, all along, continually [PAVC-308]"
郵局,邮局,yóujú,N: post office [PAVC-202]
右,右,yòu,N: right (also ～邊) [PAVC-202]
再,再,zài,A: then [PAVC-202]
直,直,zhí,"SV, A: to be straight, continuously [PAVC-202]"
轉,转,zhuǎn,V: to turn [PAVC-202]
左,左,zuǒ,N: left (also ～邊) [PAVC-202]
飽,饱,bǎo,SV: to be full (after eating) [PAVC-203]
叉,叉,chā,BF: fork [PAVC-203]
叉子,叉子,chāzi,N: fork [PAVC-203]
大家,大家,dàjiā,N: everyone [PAVC-203]
刀,刀,dāo,N: knife [PAVC-203]
刀叉,刀叉,dāochā,N: knife and fork [PAVC-203]
刀子,刀子,dāozi,N: knife [PAVC-203]
點菜,点菜,diǎncài,VO: to order food [PAVC-203]
方,方,fāng,N: Chinese surname (Fang) [PAVC-203]
非常,非常,fēicháng,"A: very, extremely [PAVC-203]"
封,封,fēng,M: measure word for letters [PAVC-203]
宮保雞丁,宫保鸡丁,gōngbǎojīdīng,N: Gongbao chicken [PAVC-203] [PAVC-302]
雞,鸡,jī,N: chicken [PAVC-203]
介紹,介绍,jièshào,"V: to introduce, to suggest [PAVC-203]"
句,句,jù,"M: measure word for sentences, phrases [PAVC-203]"
句子,句子,jùzi,N: sentence [PAVC-203]
筷子,筷子,kuàizi,N: chopsticks [PAVC-203]
慢用,慢用,mànyòng,IE: eat slowly (enjoy your meal) [PAVC-203]
毛筆,毛笔,máobǐ,N: brush pen [PAVC-203]
牛,牛,niú,"N: cow, cattle [PAVC-203]"
牛肉,牛肉,niúròu,N: beef [PAVC-203]
青菜,青菜,qīngcài,"N: vegetables, green vegetable [PAVC-203]"
肉,肉,ròu,N: meat [PAVC-203]
水果,水果,shuǐguǒ,N: fruit [PAVC-203]
水餃,水饺,shuǐjiǎo,N: boiled Chinese dumplings [PAVC-203] [PAVC-302]
酸辣湯,酸辣汤,suānlàtāng,N: hot and sour soup [PAVC-203] [PAVC-302]
湯,汤,tāng,N: soup [PAVC-203]
湯匙,汤匙,tāngchí,N: soup spoon [PAVC-203]
替,替,tì,"CV: for, in place of, a substitute for [PAVC-203]"
碗,碗,wǎn,"M, N: measure word for servings of food, bowl [PAVC-203]"
問好,问好,wènhǎo,"IE: to wish someone well, to send best regards to someone [PAVC-203]"
謝,谢,Xiè,"N: Chinese surname (Xie, Hsieh) [PAVC-203]"
信,信,xìn,N: letter [PAVC-203]
用,用,yòng,"V, CV: to use, using, with [PAVC-203]"
有用,有用,yǒuyòng,SV: to be useful [PAVC-203]
魚,鱼,yú,N: fish (also ～兒) [PAVC-203]
這麼,这么,zhème,"A: so, like this [PAVC-203]"
自己,自己,zìjǐ,"N: oneself, by oneself [PAVC-203]"
本來,本来,běnlái,MA: originally [PAVC-204]
次,次,cì,M: measure word for action or affair's time [PAVC-204]
從前,从前,cóngqián,"MA (TW): formerly, in the past, used to [PAVC-204]"
大概,大概,dàgài,MA: probably [PAVC-204]
電話,电话,diànhuà,"N: telephone, call [PAVC-204]"
煩,烦,fán,"SV, V: to be vexed, annoyed; to annoy [PAVC-204]"
高興,高兴,gāoxìng,SV: to be happy [PAVC-204]
告訴,告诉,gàosù,"V: to tell, to inform [PAVC-204]"
號碼,号码,hàomǎ,N: number [PAVC-204]
後來,后来,hòulái,"MA (TW): afterwards, later on [PAVC-204]"
記,记,jì,"V: to record, to write, to jot down [PAVC-204]"
記得,记得,jìdé,V: to remember [PAVC-204]
見面,见面,jiànmiàn,"VO: to meet someone, to see someone [PAVC-204] [PAVC-405]"
接,接,jiē,"V: to receive, to meet, to come into contact with (also ～到) [PAVC-204]"
借,借,jiè,"V: to borrow, to lend [PAVC-204]"
決定,决定,juédìng,V: to decide [PAVC-204]
恐怕,恐怕,kǒngpà,"MA: (I'm) afraid that, perhaps, probably [PAVC-204]"
離開,离开,líkāi,V: to leave [PAVC-204]
留,留,liú,"V: to leave (message, thing, etc.), to stay, to remain [PAVC-204]; to remain, to stay; to keep, reserve; to detain [PAVC-302]"
麻煩,麻烦,máfán,"SV, V, N: to be annoyed; to bother; an annoyance, troublesome [PAVC-204]"
怕,怕,pà,V: to fear [PAVC-204]
認得,认得,rèndé,V: to know (as in 'to recognize') [PAVC-204]
認識,认识,rènshì,"V: to recognize, to realize [PAVC-204]"
手,手,shǒu,N: hand [PAVC-204]
頭,头,tóu,"DEM, N: first, the top, head [PAVC-204]"
喂,喂,wéi,"P: a common telephone or intercom greeting, ""Hello!"" (also with the fourth tone) [PAVC-204] [PAVC-313]"
洗,洗,xǐ,V: to wash [PAVC-204]
以後,以后,yǐhòu,"MA (TW): afterwards, after [PAVC-204]"
以前,以前,yǐqián,"MA (TW): before, ago, formerly [PAVC-204]"
義大利,义大利,Yìdàlì,N: Italy [PAVC-204]
郵差,邮差,yóuchāi,"N: mail carrier, postman [PAVC-204]"
中學,中学,zhōngxué,N: middle school [PAVC-204]
字條,字条,zìtiáo,N: a note [PAVC-204]
矮,矮,ǎi,SV: to be short (antonym: gāo) [PAVC-205]
辦法,办法,bànfǎ,"N: method, way of doing something [PAVC-205]"
笨,笨,bèn,SV: to be stupid [PAVC-205]
比,比,bǐ,"V, CV: to compare; compared to, than [PAVC-205]; V: indicating the different scores won by two contestants or two contesting teams [PAVC-312]"
比較,比较,bǐjiào,"A, V: comparatively, to compare [PAVC-205]"
不得了,不得了,bùdéliǎo,"SV: to be extremely, to be exceedingly (hot, cold, wet, etc.) [PAVC-205]"
長,长,cháng,SV: to be long [PAVC-205]
尺,尺,chǐ,"M, N: a unit for measuring length, a ruler [PAVC-205]"
聰明,聪明,cōngmíng,SV: to be intelligent [PAVC-205]
短,短,duǎn,SV: to be short [PAVC-205]
多麼,多么,duōme,"A (QW): how SV? (often used in an exclamatory sentence indicating a high degree: ""How … !"" or ""What a … !"", the second character may be omitted) [PAVC-205]"
法語,法语,fǎyǔ,N: French language [PAVC-205]
更,更,gèng,"A: even more, still more [PAVC-205]"
公尺,公尺,gōngchǐ,M: meter [PAVC-205]
公分,公分,gōngfēn,M: centimeter [PAVC-205]
公斤,公斤,gōngjīn,N: kilogram [PAVC-205]
功課,功课,gōngkè,"N: schoolwork, homework [PAVC-205]"
公里,公里,gōnglǐ,M: kilometer [PAVC-205]
好像,好像,hǎoxiàng,"MA, V: to seem, to be likely, to be like [PAVC-205]"
華語,华语,huáyǔ,N: Chinese language [PAVC-205]
極,极,jí,"BF: utmost, extremely [PAVC-205]"
里,里,lǐ,M: Chinese mile [PAVC-205]
年紀,年纪,niánjì,N: age [PAVC-205]
胖,胖,pàng,SV: to be fat [PAVC-205]
日子,日子,rìzi,"N: day (date), days (time) [PAVC-205]"
世界,世界,shìjiè,N: world [PAVC-205]
瘦,瘦,shòu,SV: to be thin [PAVC-205]
歲,岁,suì,"M: measure word for age, years old [PAVC-205]"
像,像,xiàng,"SV, V: to be alike, to be like, to resemble [PAVC-205]"
樣,样,yàng,"BF, M: appearance, shape; kind of, type of [PAVC-205]"
樣子,样子,yàngzi,"N: appearance, shape, model, pattern [PAVC-205]"
一切,一切,yíqiè,"N: all, everything [PAVC-205]"
一樣,一样,yíyàng,"SV, A: to be the same, identical [PAVC-205]"
英尺,英尺,yīngchǐ,M: foot (US measurement) [PAVC-205]
英里,英里,yīnglǐ,M: mile (US measurement) [PAVC-205]
用功,用功,yònggōng,"SV: to be studious, industrious, to be hard-working [PAVC-205]"
語,语,yǔ,BF: language [PAVC-205]
語法,语法,yǔfǎ,N: grammar [PAVC-205]
語言,语言,yǔyán,N: language [PAVC-205]
重,重,zhòng,SV: to be heavy [PAVC-205]
搬,搬,bān,V: to move [PAVC-206]
搬家,搬家,bānjiā,VO: to move (one's house) [PAVC-206]
場,场,chǎng,"BF: site, spot, field [PAVC-206]"
超級市場,超级市场,chāojíshìchǎng, N: supermarket [PAVC-206]
陳,陈,Chén,N: a common Chinese surname (Chen) [PAVC-206]
出,出,chū,DV: to go or come out [PAVC-206]
出來,出来,chūlái,DC: to come out [PAVC-206]
出門,出门,chūmén,"VO: to go outside, to go out, to go out the door [PAVC-206]"
出去,出去,chūqù,"DC: to go out, to leave [PAVC-206]"
地址,地址,dìzhǐ,N: address [PAVC-206]
改,改,gǎi,"V: to change, to alter, to correct [PAVC-206]"
改天,改天,gǎitiān,MA (TW): another day [PAVC-206]
行,行,háng,"N: measure word for lines, rows [PAVC-206]"
歡迎,欢迎,huānyíng,"V, IE: welcome [PAVC-206]"
機場,机场,jīchǎng,N: airport [PAVC-206]
寄,寄,jì,V: to mail [PAVC-206]
郊區,郊区,jiāoqū,N: suburbs [PAVC-206]
進,进,jìn,"DV: move forward, enter [PAVC-206]"
進來,进来,jìnlái,DC: come in [PAVC-206]
進去,进去,jìnqù,DC: go in [PAVC-206]
空,空,kōng,SV: to be empty [PAVC-206]
林,林,Lín,N: a common Chinese surname (Lin) [PAVC-206]
拿,拿,ná,"V: to bring, to carry (in one's, or with one's hand) [PAVC-206]"
盤,盘,pán,"M: tray of, plate of, dish of [PAVC-206]"
盤子,盘子,pánzi,N: plate [PAVC-206]
跑,跑,pǎo,V: to run [PAVC-206]
平,平,píng,"SV: to be even, level [PAVC-206]"
平常,平常,píngcháng,"SV, MA: to be ordinary; generally, ordinarily, usually [PAVC-206]"
請進,请进,qǐngjìn,"IE: come in, please [PAVC-206]"
區,区,qū,"N: district, area, region [PAVC-206]"
市場,市场,shìchǎng,N: market [PAVC-206]
市區,市区,shìqū,"N: urban area, urban district [PAVC-206]"
送,送,sòng,"V: to escort, to deliver, to send off, to present [PAVC-206]"
談,谈,tán,V: to talk about [PAVC-206]
談話,谈话,tánhuà,VO: to talk [PAVC-206]
需要,需要,xūyào,"V, AV, N: to need, to require; need to; need, requirement [PAVC-206]"
頁,页,yè,M: measure word for page [PAVC-206]
有空,有空,yǒukòng,"VO: to have free time, to be free (also ～兒) [PAVC-206]"
把,把,bǎ,"CV: used to draw attention to the object, rather than the subject of a sentence [PAVC-207]"
不用,不用,búyòng,"AV, V: need not, don't have to [PAVC-207]"
車房,车房,chēfáng,N: garage [PAVC-207]
廚房,厨房,chúfáng,kitchen [PAVC-207]
窗戶,窗户,chuānghù,N: window [PAVC-207]
帶,带,dài,"V: to bring [PAVC-207]; to take care of a child, to bring up the young [PAVC-308]; PT: and, while, as well as, both … and … (indicating two nearly simultaneous actions) (連 … ～ … ) [PAVC-414]"
當然,当然,dāngrán,MA: of course [PAVC-207]
當中,当中,dāngzhōng,"N (PW): middle, in the center [PAVC-207]"
燈,灯,dēng,"N: lamp, light [PAVC-207]"
對面,对面,duìmiàn,"N (PW): the other side, place across from [PAVC-207]; right in front, opposite or facing side [PAVC-410]"
餓,饿,è,SV: to be hungry [PAVC-207]
掛,挂,guà,V: to hang [PAVC-207]
關,关,guān,"V: to close, to turn off [PAVC-207]"
關上,关上,guānshàng,"DC: to close, to shut; to turn off [PAVC-207]"
櫃,柜,guì,BF: cabinet [PAVC-207]
櫃子,柜子,guìzi,"N: cabinet, sideboard [PAVC-207]"
黑,黑,hēi,"N, SV: black; to be black, to be dark [PAVC-207]"
架,架,jià,"M: measure word for airplane, machine [PAVC-207]"
架子,架子,jiàzi,"N: frame, stand, rack, shelf [PAVC-207]"
開開,开开,kāikāi,"DC: to turn on, to switch on [PAVC-207]"
亮,亮,liàng,"SV: to be sunny, to be bright [PAVC-207]"
錄影機,录影机,lùyǐngjī,N: video machine [PAVC-207]
扔,扔,rēng,"V: to throw, to toss, to cast [PAVC-207]"
書架,书架,shūjià,"N: bookshelf, bookcase [PAVC-207]"
宿舍,宿舍,sùshè,N: dormitory [PAVC-207]
它,它,tā,PN: it [PAVC-207]
檯燈,台灯,táidēng,N: lamp [PAVC-207]
同學,同学,tóngxué,"N, V: classmate, to be in the same class [PAVC-207]"
脫,脱,tuō,"V: to peel, to take or to cast off, to escape [PAVC-207]"
脫下來,脱下来,tuōxiàlái,RC: to take off [PAVC-207]
碗櫃,碗柜,wǎnguì,"N: (kitchen) cabinet, cupboard [PAVC-207]"
聞,闻,wén,"V: to smell, to listen [PAVC-207]"
臥房,卧房,wòfáng,N: bedroom [PAVC-207]
新聞,新闻,xīnwén,N: news [PAVC-207]
鑰匙,钥匙,yàoshi,N: key [PAVC-207]
衣櫃,衣柜,yīguì,N: closet [PAVC-207]
髒,脏,zāng,SV: to be dirty [PAVC-207]
最好,最好,zuìhǎo,"A: best, better to [PAVC-207]"
錄,录,lù,"V: to record, to copy [PAVC-207] [PAVC-401]"
白,白,bái,"N, SV: white, to be white [PAVC-208]; A: in vain, to no effect [PAVC-405]"
部分,部分,bùfèn,"M, N: part, section (last character also written with the 亻 radical) [PAVC-208]"
草,草,cǎo,N: grass [PAVC-208]
草地,草地,cǎodì,N: lawn [PAVC-208]
打電話,打电话,dǎdiànhuà,VO: to make a phone call [PAVC-208]
大部分,大部分,dàbùfèn,N: the most part (last character also written with the 亻 radical) [PAVC-208]
戴,戴,dài,"V: to wear (hat, watch, jewelry, etc.) [PAVC-208]"
黑板,黑板,hēibǎn,N: blackboard [PAVC-208]
紅,红,hóng,"N, SV: red, to be red [PAVC-208]; SV: to be very popular, to be eminent, influential [PAVC-403]"
忽然,忽然,hūrán,A: suddenly [PAVC-208]
花,花,huā,"N: flower (also ～兒) [PAVC-208]; SV: to be fond of women, to be a womanizer [PAVC-407]"
換,换,huàn,V: to change [PAVC-208]
黃,黄,huáng,"N, SV: yellow, to be yellow [PAVC-208]"
黃色,黄色,huángsè,N: yellow [PAVC-208]
介紹信,介绍信,jièshàoxìn,N: introduction letter [PAVC-208]
開花,开花,kāihuā,"VO: to bloom, to blossom [PAVC-208]"
藍,蓝,lán,"N, SV: blue, to be blue [PAVC-208]"
涼,凉,liáng,SV: to be cool [PAVC-208]
涼快,凉快,liángkuài,SV: to be pleasantly cool [PAVC-208]
綠,绿,lǜ,"N, SV: green, to be green [PAVC-208]"
年級,年级,niánjí,"N, M: grade at school [PAVC-208]"
皮,皮,pí,N: leather [PAVC-208]
皮鞋,皮鞋,píxié,N: leather shoes [PAVC-208]
皮子,皮子,pízi,N: leather [PAVC-208]
漂亮,漂亮,piàoliàng,"SV: to be beautiful, to be pretty [PAVC-208]"
色,色,sè,BF: color [PAVC-208]
雙,双,shuāng,M: pair of [PAVC-208]
套,套,tào,"M: measure word for a set of books, clothes, furniture, stamps, dishes, equipment, etc. [PAVC-208] [PAVC-407]"
外套,外套,wàitào,N: overcoat [PAVC-208]
鞋,鞋,xié,N: shoe [PAVC-208]
鞋子,鞋子,xiézi,N: shoe [PAVC-208]
顏色,颜色,yánsè,N: color [PAVC-208]
原來,原来,yuánlái,"A: originally, formerly, at first; (indicating the discovery of the truth) it turns out that … [PAVC-208] [PAVC-304]"
願意,愿意,yuànyì,"AV: be willing, want to, like to [PAVC-208]"
